Date and time of logging (UTC)	Steps walked	Distance travelled (meters)	Calories burned	Exercise duration (minutes)	Wheelchair distance (meters)
2026-05-28T04:00:00Z	180	129	11	0	0
2026-05-28T05:00:00Z	37	29	1	0	0
2026-05-28T06:00:00Z	20	14	0	0	0
2026-05-28T15:00:00Z	233	211	10	0	0
2026-05-28T16:00:00Z	559	403	16	0	0
2026-05-28T17:00:00Z	192	211	15	0	0
2026-05-28T18:00:00Z	147	287	4	0	0
2026-05-28T19:00:00Z	83	58	1	0	0
2026-05-28T20:00:00Z	370	434	13	0	0
2026-05-28T21:00:00Z	720	538	30	0	0
2026-05-28T22:00:00Z	265	392	11	0	0
2026-05-28T23:00:00Z	168	295	5	0	0
2026-05-29T00:00:00Z	68	45	1	0	0
2026-05-29T01:00:00Z	129	95	3	0	0
2026-05-29T03:00:00Z	56	41	1	0	0
2026-05-29T04:00:00Z	52	37	5	0	0
2026-05-29T13:00:00Z	131	99	3	0	0
2026-05-29T14:00:00Z	136	218	10	0	0
2026-05-29T15:00:00Z	311	588	23	0	0
2026-05-29T16:00:00Z	10	8	0	0	0
2026-05-29T17:00:00Z	172	120	13	0	0
2026-05-29T18:00:00Z	339	616	19	0	0
2026-05-29T19:00:00Z	374	352	18	0	0
2026-05-29T20:00:00Z	75	42	2	0	0
2026-05-29T21:00:00Z	93	63	2	0	0
2026-05-29T22:00:00Z	461	580	20	0	0
2026-05-29T23:00:00Z	38	331	2	0	0
2026-05-30T00:00:00Z	49	37	2	0	0
2026-05-30T01:00:00Z	499	1008	16	0	0
2026-05-30T02:00:00Z	1088	899	34	0	0
2026-05-30T03:00:00Z	35	27	0	0	0
2026-05-30T04:00:00Z	88	63	2	0	0
2026-05-30T05:00:00Z	43	31	1	0	0
2026-05-30T07:00:00Z	53	40	0	0	0
2026-05-30T15:00:00Z	43	32	1	0	0
2026-05-30T18:00:00Z	130	87	2	0	0
2026-05-30T19:00:00Z	93	638	4	0	0
2026-05-30T20:00:00Z	200	324	5	0	0
2026-05-30T21:00:00Z	105	103	6	0	0
2026-05-30T23:00:00Z	268	199	11	0	0
2026-05-31T00:00:00Z	52	38	5	0	0
2026-05-31T01:00:00Z	430	305	12	0	0
2026-05-31T02:00:00Z	59	312	2	0	0
2026-05-31T03:00:00Z	1453	1692	53	0	0
2026-05-31T04:00:00Z	725	504	29	0	0
2026-05-31T05:00:00Z	21	14	2	0	0
2026-05-31T08:00:00Z	111	78	2	0	0
2026-05-31T13:00:00Z	45	33	0	0	0
2026-05-31T16:00:00Z	62	46	2	0	0
2026-05-31T17:00:00Z	1155	908	45	0	0
2026-05-31T18:00:00Z	1017	882	36	0	0
2026-05-31T19:00:00Z	281	179	9	0	0
2026-05-31T20:00:00Z	935	613	27	0	0
2026-05-31T21:00:00Z	183	121	4	0	0
2026-05-31T22:00:00Z	365	254	10	0	0
2026-05-31T23:00:00Z	10	7	0	0	0
2026-06-01T02:00:00Z	70	47	2	0	0
2026-06-01T03:00:00Z	248	184	7	0	0
2026-06-01T04:00:00Z	138	100	7	0	0
2026-06-01T05:00:00Z	432	299	15	0	0
2026-06-01T07:00:00Z	31	19	0	0	0
2026-06-01T08:00:00Z	22	16	0	0	0
2026-06-01T13:00:00Z	78	58	2	0	0
2026-06-01T14:00:00Z	282	254	7	0	0
2026-06-01T15:00:00Z	351	591	26	0	0
2026-06-01T16:00:00Z	139	96	5	0	0
2026-06-01T18:00:00Z	107	73	3	0	0
2026-06-01T19:00:00Z	65	41	3	0	0
2026-06-01T20:00:00Z	759	530	52	0	0
2026-06-01T21:00:00Z	435	318	30	0	0
2026-06-01T22:00:00Z	307	252	21	0	0
2026-06-01T23:00:00Z	248	176	9	0	0
2026-06-02T00:00:00Z	314	208	11	0	0
2026-06-02T01:00:00Z	73	50	1	0	0
2026-06-02T02:00:00Z	90	66	3	0	0
2026-06-02T03:00:00Z	268	186	9	0	0
2026-06-02T05:00:00Z	359	253	11	0	0
2026-06-02T06:00:00Z	195	131	4	0	0
2026-06-02T07:00:00Z	88	62	4	0	0
2026-06-02T14:00:00Z	17	12	0	0	0
2026-06-02T15:00:00Z	199	343	4	0	0
2026-06-02T16:00:00Z	353	267	24	0	0
2026-06-02T17:00:00Z	58	41	1	0	0
2026-06-02T18:00:00Z	162	113	8	0	0
2026-06-02T19:00:00Z	466	333	28	0	0
2026-06-02T20:00:00Z	61	41	2	0	0
2026-06-02T21:00:00Z	131	90	6	0	0
2026-06-02T22:00:00Z	71	47	3	0	0
2026-06-02T23:00:00Z	380	272	20	0	0
2026-06-03T00:00:00Z	115	644	11	0	0
2026-06-03T01:00:00Z	201	149	8	0	0
2026-06-03T03:00:00Z	234	584	7	0	0
2026-06-03T05:00:00Z	131	90	1	0	0
2026-06-03T06:00:00Z	130	93	2	0	0
2026-06-03T13:00:00Z	74	52	2	0	0
2026-06-03T14:00:00Z	119	141	2	0	0
2026-06-03T15:00:00Z	299	535	18	0	0
2026-06-03T16:00:00Z	136	100	4	0	0
2026-06-03T17:00:00Z	122	83	4	0	0
2026-06-03T18:00:00Z	131	97	4	0	0
2026-06-03T19:00:00Z	701	498	41	0	0
2026-06-03T20:00:00Z	48	32	1	0	0
2026-06-03T23:00:00Z	458	334	19	0	0
2026-06-04T00:00:00Z	222	633	8	0	0
2026-06-04T01:00:00Z	198	152	5	0	0
2026-06-04T02:00:00Z	947	1596	35	0	0
2026-06-04T03:00:00Z	151	112	2	0	0
2026-06-04T04:00:00Z	28	19	0	0	0
2026-06-04T05:00:00Z	255	190	6	0	0
2026-06-04T15:00:00Z	128	92	2	0	0
2026-06-04T16:00:00Z	69	54	1	0	0
2026-06-04T17:00:00Z	152	103	4	0	0
2026-06-04T19:00:00Z	17	9	0	0	0
2026-06-04T22:00:00Z	34	25	0	0	0
2026-06-05T00:00:00Z	72	52	1	0	0
2026-06-05T03:00:00Z	48	36	1	0	0
2026-06-05T04:00:00Z	158	105	3	0	0
2026-06-05T05:00:00Z	19	13	0	0	0
2026-06-05T08:00:00Z	100	69	1	0	0
2026-06-05T13:00:00Z	7	5	0	0	0
2026-06-05T14:00:00Z	247	276	8	0	0
2026-06-05T15:00:00Z	328	441	23	0	0
2026-06-05T16:00:00Z	221	156	9	0	0
2026-06-05T18:00:00Z	360	247	12	0	0
2026-06-05T19:00:00Z	202	195	15	0	0
2026-06-05T20:00:00Z	357	518	21	0	0
2026-06-05T21:00:00Z	138	100	5	0	0
2026-06-05T22:00:00Z	131	91	4	0	0
2026-06-05T23:00:00Z	49	36	5	0	0
2026-06-06T00:00:00Z	279	237	17	0	0
2026-06-06T01:00:00Z	94	69	3	0	0
2026-06-06T02:00:00Z	224	164	6	0	0
2026-06-06T03:00:00Z	15	11	0	0	0
2026-06-06T04:00:00Z	74	53	2	0	0
2026-06-06T06:00:00Z	63	45	1	0	0
2026-06-06T07:00:00Z	28	20	1	0	0
2026-06-06T12:00:00Z	68	51	2	0	0
2026-06-06T13:00:00Z	50	35	1	0	0
2026-06-06T18:00:00Z	18	13	0	0	0
2026-06-06T19:00:00Z	244	169	6	0	0
2026-06-06T20:00:00Z	772	532	28	0	0
2026-06-06T21:00:00Z	1821	1462	66	0	0
2026-06-06T22:00:00Z	331	516	10	0	0
2026-06-06T23:00:00Z	103	75	2	0	0
2026-06-07T00:00:00Z	46	32	1	0	0
2026-06-07T01:00:00Z	63	50	3	0	0
2026-06-07T03:00:00Z	172	124	5	0	0
2026-06-07T04:00:00Z	44	31	1	0	0
2026-06-07T05:00:00Z	50	36	1	0	0
2026-06-07T06:00:00Z	17	11	0	0	0
2026-06-07T07:00:00Z	177	126	4	0	0
2026-06-07T08:00:00Z	98	71	1	0	0
2026-06-07T15:00:00Z	23	15	1	0	0
2026-06-07T16:00:00Z	389	270	10	0	0
2026-06-07T17:00:00Z	470	332	18	0	0
2026-06-07T18:00:00Z	677	447	17	0	0
2026-06-07T19:00:00Z	251	168	5	0	0
2026-06-07T20:00:00Z	254	851	14	0	0
2026-06-07T21:00:00Z	65	39	2	0	0
2026-06-07T22:00:00Z	687	610	32	0	0
2026-06-07T23:00:00Z	196	150	6	0	0
2026-06-08T00:00:00Z	75	54	1	0	0
2026-06-08T01:00:00Z	418	2215	16	0	0
2026-06-08T02:00:00Z	144	96	2	0	0
2026-06-08T04:00:00Z	14	11	0	0	0
2026-06-08T13:00:00Z	102	75	5	0	0
2026-06-08T14:00:00Z	189	136	8	0	0
2026-06-08T15:00:00Z	329	220	25	0	0
2026-06-08T16:00:00Z	143	96	4	0	0
2026-06-08T18:00:00Z	446	313	24	0	0
2026-06-08T19:00:00Z	217	566	9	0	0
2026-06-08T20:00:00Z	50	37	4	0	0
2026-06-08T21:00:00Z	404	318	15	0	0
2026-06-08T22:00:00Z	27	19	2	0	0
2026-06-08T23:00:00Z	448	1455	13	0	0
2026-06-09T00:00:00Z	152	109	4	0	0
2026-06-09T02:00:00Z	161	117	4	0	0
2026-06-09T03:00:00Z	88	65	2	0	0
2026-06-09T04:00:00Z	28	20	0	0	0
2026-06-09T05:00:00Z	30	22	3	0	0
2026-06-09T07:00:00Z	43	31	1	0	0
2026-06-09T15:00:00Z	181	134	7	0	0
2026-06-09T16:00:00Z	82	56	2	0	0
2026-06-09T18:00:00Z	87	62	2	0	0
2026-06-09T21:00:00Z	121	87	2	0	0
2026-06-09T23:00:00Z	98	74	4	0	0
2026-06-10T00:00:00Z	17	11	0	0	0
2026-06-10T01:00:00Z	42	31	0	0	0
2026-06-10T02:00:00Z	67	69	1	0	0
2026-06-10T03:00:00Z	94	269	2	0	0
2026-06-10T04:00:00Z	168	121	5	0	0
2026-06-10T05:00:00Z	15	9	0	0	0
2026-06-10T06:00:00Z	45	33	2	0	0
2026-06-10T07:00:00Z	77	58	2	0	0
2026-06-10T13:00:00Z	231	170	16	0	0
2026-06-10T14:00:00Z	262	259	8	0	0
2026-06-10T15:00:00Z	478	568	30	0	0
2026-06-10T16:00:00Z	0	0	0	0	0
2026-06-10T17:00:00Z	141	98	5	0	0
2026-06-10T18:00:00Z	171	111	5	0	0
2026-06-10T19:00:00Z	118	82	3	0	0
2026-06-10T21:00:00Z	1176	836	54	0	0
2026-06-10T22:00:00Z	41	30	1	0	0
2026-06-10T23:00:00Z	128	95	5	0	0
2026-06-11T00:00:00Z	180	307	8	0	0
